,Frame#,Time,AlejandroMask:HeadTopX7,AlejandroMask:HeadTopY7,AlejandroMask:HeadTopZ7,AlejandroMask:HeadFrontX5,AlejandroMask:HeadFrontY5,AlejandroMask:HeadFrontZ5,HeadFront5MAG,AlejandroMask:LP1X46,LHandMaxPosY,LHandPosXMean,LHandPosYMean,LHandPosZMean,RHandPosXMean,RHandPosYMean,RHandPosZMean,BothHandMaxPosY,LHandVelocity,RHandVelocity,HeadMaxPosY,HeadVelocity,HeadPosXMean,HeadPosYMean,DistanceChestToLeftArm,DistanceChestToRightArm,DistanceChestToArmsMax,ShoulderVelocity
62,66,0.55,0.184965,1.71694,0.342327,0.141986,1.72979,0.488884,0.000203786653145,0.34238,0.777964,0.7321621,0.717853,0.6012755,-0.0701516,0.7321621,0.5275857,0.796856,0.000337521851144,0.000203946071303,1.72979,0.000207523492646,0.1305508,1.1328472,0.828919389837,0.578196036912,0.828919389837,0.000169307412714
63,67,0.558333,0.18477,1.71694,0.342398,0.141796,1.72978,0.488957,0.000196865436276,0.342089,0.778043,0.7321294,0.717909,0.6012753,-0.0702413,0.7321294,0.5276972,0.79682,0.000380586389667,0.000154625353678,1.72978,0.000210002380939,0.1304338,1.1328328,0.8288649006,0.578225386411,0.8288649006,0.000158091745515
64,68,0.566667,0.184569,1.71695,0.342458,0.141612,1.72978,0.489027,0.000206148005084,0.341772,0.778116,0.732097,0.7179699,0.6012822,-0.0703172,0.732097,0.5277948,0.796769,0.000313896479751,0.000240256113346,1.72978,0.000206148005084,0.1303204,1.132821,0.828801669141,0.578253005017,0.828801669141,0.000152643375225
65,69,0.575,0.184381,1.71695,0.342523,0.141418,1.72977,0.489096,0.000204266982158,0.341478,0.7782,0.7320709,0.7180344,0.6012945,-0.0704069,0.7320709,0.5278925,0.796743,0.000306244999959,0.000280709814577,1.72977,0.000208751047902,0.1302062,1.1328062,0.828747429297,0.578276380042,0.828747429297,0.000141509716981
66,70,0.583333,0.184185,1.71697,0.342592,0.141226,1.72976,0.489165,0.000222560104242,0.341219,0.778286,0.7320529,0.7181084,0.6012886,-0.0704999,0.7320529,0.5280043,0.796712,0.000319133201031,0.000179838816722,1.72976,0.000222560104242,0.130099,1.1327968,0.828696495679,0.578303110062,0.828696495679,0.000143055933117
67,71,0.591667,0.183999,1.71699,0.342667,0.141014,1.72975,0.489232,0.000226640684785,0.340953,0.778376,0.7320332,0.7181766,0.6012902,-0.0705762,0.7320332,0.5280892,0.796692,0.000378841655577,0.000143405020833,1.72975,0.000226640684785,0.1299846,1.1327868,0.828650241029,0.578313425094,0.828650241029,0.000141155942135
68,72,0.6,0.183797,1.71701,0.342739,0.140799,1.72974,0.489303,0.000233465200833,0.34072,0.778483,0.7320086,0.7182388,0.6013065,-0.0706409,0.7320086,0.5281759,0.796679,0.000383126610926,0.000129154945705,1.72974,0.000233465200833,0.1298696,1.1327802,0.828602281663,0.578325928574,0.828602281663,0.00013160927019
69,73,0.608333,0.183612,1.71704,0.342813,0.140574,1.72972,0.489362,0.000226843558427,0.340502,0.778593,0.7319888,0.7183122,0.6013222,-0.0707045,0.7319888,0.5282557,0.796668,0.000415811255259,0.000111579568022,1.72972,0.000226843558427,0.1297532,1.132771,0.828555852614,0.578343766144,0.828555852614,0.000132879644792
70,74,0.616667,0.183417,1.71707,0.342886,0.140357,1.7297,0.489425,0.000233704942181,0.340194,0.778694,0.7319639,0.7183837,0.6013369,-0.0707519,0.7319639,0.5283343,0.796647,0.000369781016279,0.000105123736615,1.7297,0.000233704942181,0.1296366,1.1327598,0.828494148061,0.57834198558,0.828494148061,0.000122090130641
71,75,0.625,0.183224,1.7171,0.34296,0.140134,1.72968,0.489492,0.000223814655463,0.339825,0.778788,0.7319442,0.7184511,0.6013593,-0.0708069,0.7319442,0.5284042,0.796633,0.000338221820703,0.000104120122935,1.72968,0.000223814655463,0.1295184,1.1327518,0.828456021571,0.578343107632,0.828456021571,0.000115585466214
72,76,0.633333,0.183035,1.71711,0.343021,0.139921,1.72967,0.48956,0.000227484065376,0.339492,0.77889,0.7319222,0.7185332,0.601363,-0.0708439,0.7319222,0.5284728,0.796608,0.000337345520201,8.59651092013e-05,1.72967,0.000227484065376,0.1294084,1.1327398,0.828385329555,0.578336840457,0.828385329555,0.000101906820184
73,77,0.641667,0.18287,1.71713,0.343091,0.139706,1.72964,0.489628,0.00020055173896,0.339206,0.779002,0.7319037,0.7186086,0.6013808,-0.0708802,0.7319037,0.5285307,0.796598,0.000345266563687,7.65767588762e-05,1.72964,0.00020055173896,0.1292988,1.1327328,0.828346463088,0.578341424406,0.828346463088,0.000106836323411
